diemTD,diemCT,diemMT,diemGQVD,diemKT1,diemKT2,diemCK,target
8.7,2.3,7.1,9.8,5.3,5.9,7.6,Pass
8.4,2.5,3.5,6.3,4.7,2.2,6.2,Fail
2.2,8.8,5.2,5.5,6.6,9.9,4.5,Pass
4.5,7.5,9.8,4,2.9,3.2,3.7,Fail
3.5,6.4,10,9.9,8.2,6,2.9,Pass
9.5,9,2.9,6.4,7.4,5.6,5,Pass
8.9,2.5,7.6,7.1,9.7,2.8,3.3,Pass
3.2,9.8,3.8,4.3,9.1,6.9,6.5,Pass
8.7,4.2,3,5.1,4.4,5.8,6.8,Pass
2.3,4.1,8.1,7.9,6.6,2.5,6.4,Pass
7.9,6.8,8.4,8.8,8.6,8.3,9.4,Pass
4.9,5.2,5.2,4.7,4.4,6.7,4.6,Pass
5.3,8.4,4.3,8.4,3.4,7.3,7.6,Pass
8.1,4.3,8.2,9.2,7.8,5.2,4.2,Pass
8.8,4.7,2.9,5.5,7.3,8.2,9.1,Pass
8.5,10,4.1,2.5,9.3,6.5,8.2,Pass
7.2,3.7,8.8,8.6,4.9,9.7,8.5,Pass
7,5.4,2.7,6.3,2.6,3.2,3.5,Fail
4.2,8.7,8.4,2.3,9.7,3,4,Pass
8.8,7.9,7.4,4.9,6.5,4.7,6.3,Pass
5.3,8.4,7.2,5.5,2.3,8.2,3.4,Pass
7.2,2.4,9,7.9,7.6,4.8,10,Pass
8.7,9.9,9.1,9.3,7.9,3,9.5,Pass
2.4,5.7,6.2,6.7,2.5,8.1,2.3,Fail
9.4,8,7.8,7.5,5.1,3.2,3,Pass
5.9,7.3,4,8.9,6.9,2.6,6.8,Pass
8.6,2.8,3.7,5.8,6,7.8,5.5,Pass
9.8,6.6,7.9,9.9,3,9.4,7.1,Pass
7.7,2.4,2.9,4.3,6.4,5.4,3.1,Fail
8.6,9.8,5.3,6.8,9.5,2.4,4,Pass
4.5,9.6,7.7,4.7,9.9,3.2,4.5,Pass
6.5,6.3,8.1,2.1,4.4,3.2,7.4,Pass
6.8,5.3,5.5,3.9,2.4,5.6,7.1,Pass
2.6,2.7,9.1,6.1,2.7,7.7,6.8,Pass
7.4,3.4,5.7,5.6,5.1,9,5.4,Pass
7.4,6.1,3.6,2.7,8.1,8.6,3,Pass
7.6,4.7,2.9,2.2,8,4.9,8.4,Pass
6.9,7.5,3.1,2.5,5.3,7.3,5.5,Pass
6.4,6.2,2.8,3,3.7,7.9,7.4,Pass
8.4,9.7,3.1,6.3,9.9,6.1,5.6,Pass
4.5,5,5.5,8.2,9.9,2,2.3,Fail
8.8,6.9,8.6,9.6,8.1,9.7,7.7,Pass
7.8,2.2,4,3.2,9.4,3.5,7.7,Pass
4.3,9.2,7.9,7.4,7,4.2,5.7,Pass
6.9,6.5,7.5,3.5,2.4,7.8,3.8,Pass
4,9.9,5.1,6.3,7.5,5.3,5.9,Pass
7.4,7.8,8.7,4.1,7.8,7.5,7.2,Pass
7.1,7.4,4,4.8,5.9,3.5,5.1,Pass
9.5,3.2,9.3,6.1,2,6.4,6.9,Pass
4.9,7.4,9.2,3.9,5.7,10,8.3,Pass
2.7,4.8,3.1,9.2,8,3.6,5.9,Pass
6.7,7,8.2,5.9,8.9,8.4,5,Pass
5.4,8.4,9.7,8.3,4.6,3.4,5.8,Pass
9.7,10,9.8,4.2,6.2,8.7,6.9,Pass
5.5,4.9,8.5,7,5.7,3.7,6.2,Pass
2.2,3.7,2,9.6,4.8,2.2,6.3,Fail
7.5,5.7,8.2,6.5,6.2,6.2,7.2,Pass
5.2,9.8,2.3,5,3.3,7.4,4.4,Pass
8.8,4.3,3,6.1,10,4.2,2.6,Pass
8.6,4.6,9.1,4.9,3.5,9.7,6,Pass
3.8,8.6,4.5,9.5,2.2,5,2.7,Fail
3.2,5.5,8.1,5.4,9.8,10,2.9,Pass
4.5,6.3,6.5,7.9,3.9,2.9,3.6,Fail
8.4,3.1,2.7,5.4,8.3,7.6,9.9,Pass
7.2,9.6,8.6,7.3,2.6,7.9,4,Pass
4.8,8.9,7,6.4,4.9,7.6,6.8,Pass
8.9,2.8,3.7,3.8,7.9,8.4,7.8,Pass
2.4,4.1,3.1,7.9,3.5,6.3,4.2,Fail
8.5,4.4,9.6,5,4.3,3.3,3,Fail
2.1,9.1,9.7,3.2,4.3,5.5,5.8,Pass
2.1,7.3,8.9,4.2,6.8,2.6,7.6,Pass
5.7,2.6,6.7,5.3,9,8.6,9,Pass
9.6,6.2,9.9,7.7,2.3,5.2,7.1,Pass
9,6.5,5.8,2.7,3.3,8.1,2.2,Fail
2.2,5.7,5.3,5.9,9.2,3.4,5.7,Pass
3.3,8.5,2.9,4.5,3.4,9.4,4.3,Pass
2.8,7.5,3.6,5.9,9.7,8.3,5.6,Pass
3.4,5.6,7.4,4.5,5.6,8.4,3.8,Pass
8.9,7.9,3.6,7.4,3,4.3,6.7,Pass
2.4,3.2,9,7.3,6.2,4.2,4.6,Pass
6.7,8.3,7,9.8,2.2,7.7,5.4,Pass
2.4,9.1,3.2,3,3.9,4.2,4.4,Fail
6.5,4.6,2.6,6.1,9,4.9,7.5,Pass
8.4,2.4,9.7,3.1,4.5,9.6,3.3,Pass
2.6,5.4,7.8,4.4,4.9,5.8,8.6,Pass
4.9,3.6,8,2.5,5.7,6.3,5.5,Pass
5.3,7.4,5.4,4.6,9.3,4.6,9.4,Pass
7.3,6.5,9.7,3.4,7.1,9.8,4,Pass
3.3,6.7,6.4,3.3,4.6,9.7,3.9,Pass
8.1,5,3.2,8.6,3.2,7.9,9,Pass
8.6,7.9,4.6,9.5,2.1,2.6,7.6,Pass
3.8,4.5,9.1,7.9,9.2,4.4,3.7,Pass
8.5,2.3,7.6,8.9,3.1,4.7,8.5,Pass
6.4,5.4,5.3,9.2,3.5,3.8,9.5,Pass
6.8,3.8,7.7,9.5,9.7,6.5,7,Pass
4.1,6,10,5.2,3,2.7,8.5,Pass
3.8,5.2,6,7.6,4.3,4,7.8,Pass
4.3,7.5,7,9.8,4.5,6.5,2.3,Pass
9.6,8.8,9.6,6.7,3.1,4.7,8.5,Pass
5.5,8.4,6.5,5.9,9.7,3,2.2,Pass
5.2,7.2,3.9,2,6.8,3.5,4.6,Fail
6.9,4.9,9.9,4.5,7.9,2.7,3.3,Pass
8.7,4.7,9.5,6.9,2.7,3.5,4.7,Pass
7.9,7.8,5.1,3.5,5.8,4.2,9.1,Pass
9.4,7.9,9.6,4.6,5,8.5,2.8,Pass
6.9,7.5,2.2,8.1,3.7,7.5,3.8,Pass
5.8,3.7,8.3,4,4.8,7.6,5.7,Pass
4.4,6.4,5,5.5,4.1,7.3,6,Pass
7.7,3.4,8,5,10,5.2,8.5,Pass
7.1,6.5,9.3,2.2,6.5,3.5,4.6,Pass
7.6,9.4,5.6,2.9,7.9,4.8,8.8,Pass
7.9,9.7,8.6,4.8,8.1,5.9,3.6,Pass
3,7.8,3.3,2.5,3.5,4.1,4.1,Fail
6.6,4.8,9.1,3.5,3.2,7.1,9.4,Pass
2.3,8.5,8.2,7.6,4.3,4.2,7.4,Pass
6,8.4,2.7,3.1,4.3,8.7,3.8,Pass
6.8,5.4,2.7,2.6,6.1,5.9,9.6,Pass
3.4,6.6,7.4,9.6,4.1,4.7,4,Pass
8.4,3.9,5.9,5.4,9.6,2.8,3.9,Pass
8.2,3.2,3.3,7.3,9.6,3.4,2.6,Fail
6.3,7.5,9.6,5.2,6.5,9.6,5.6,Pass
5.7,2.3,7.5,8.8,7,2,9.9,Pass
6.2,4,2.8,8.3,2.4,8.2,2.5,Fail
4.5,3.6,9.3,3.4,5.3,3.3,9.4,Pass
3.4,9.8,2.4,2.9,6.6,7.9,2.9,Fail
3.9,5.6,3.3,3,6.1,8.1,9.7,Pass
2.2,6.9,8.4,4.6,6.1,4.2,2.7,Fail
7.9,6.1,8.7,7,3.7,2.1,4.9,Pass
9.5,2.3,2.4,9.1,3.1,4.3,7.3,Pass
4.8,2.4,6.5,5.1,6,7.5,8.9,Pass
6.1,5.1,5.1,5.3,2.9,9.8,3,Fail
7.8,6.4,7.4,8.5,5.9,8.2,6,Pass
5.6,5.3,2.9,4.2,3.4,4.7,3,Fail
4.1,3.6,9.7,9.8,7.9,2,2.7,Pass
5.9,5.5,6.7,9.4,2.8,9.5,9.5,Pass
9.5,2.7,6.8,8.8,4.7,9.8,10,Pass
5.4,2.4,5.5,7.4,5.7,9.5,7.2,Pass
9,2.5,2.3,9.1,8.8,2.1,9.9,Pass
10,5.5,8.9,2,9.8,5,9,Pass
6.6,4.1,6.2,6.2,7.2,7.2,8.5,Pass
3.4,2.9,3.2,9.6,2.2,2.4,3.5,Fail
2.7,8.6,9,5.9,2.6,9.1,8.3,Pass
3.1,5.5,9.1,5.8,6.7,2.7,4.2,Pass
3.3,9.4,7.8,7.2,6.2,8.7,7.6,Pass
5.3,9.3,8,7.1,3.4,7.1,9.4,Pass
5.4,3.1,4.3,3.3,4.6,7.1,2.2,Fail
8,8.1,2.1,8.8,7.3,4.9,6.7,Pass
5.3,7.5,4.4,9.2,2.9,7.4,6.1,Pass
2.4,9.8,6.7,6.8,9.3,4.7,8.7,Pass
4.6,4.4,8.9,2,6.4,2.2,7.9,Pass
4.9,9.5,5,4.1,2.6,2.2,8.3,Pass
5.5,4.3,9.2,6.2,8.8,2.6,7.2,Pass
9.2,8,4.1,5.7,3,2.4,4.5,Fail
9.6,5.5,7.7,9.7,3.5,3.2,8.2,Pass
4.5,7,7,7.8,10,8.1,7.8,Pass
7.1,5,8.2,8.4,2.3,9.1,7.1,Pass
5.7,2.1,9.5,9.9,5.5,3,3.7,Pass
7.1,3.6,8,5.4,9.8,9.9,8.7,Pass
2.3,2.4,3.5,5,6.5,6.9,8.9,Pass
4.3,10,4.3,8.4,4.9,7.4,8.3,Pass
9.1,9.7,9.9,2.4,5,7.8,9.7,Pass
6.3,9.4,7.1,4,8.4,3.5,9.6,Pass
8.7,5,3.3,9.5,8,7.1,3.9,Pass
5.5,7.9,7.3,4.8,2,6.7,3.6,Fail
7.9,7.7,5.3,7.8,4.4,2.2,7.7,Pass
4.7,9.2,5.2,5.1,5.2,3.8,6.2,Pass
9.1,9.1,3.5,3,2.1,7.8,8.1,Pass
3.8,7.9,5,7.4,6,3.6,4.1,Pass
2,2.4,8.6,8.4,4.9,2.1,9.4,Pass
2.3,5.7,3.3,3.5,7.5,9.9,3,Fail
7.6,7.4,5.4,9.4,9.8,6.3,5.3,Pass
8.2,8.9,7.7,3,8.1,4.2,4.9,Pass
4.8,3.9,7.8,3.3,3.1,4.6,8,Pass
9.4,8.3,6.8,4.5,4.8,8.7,6.5,Pass
7.6,8.8,3.3,3.9,5.8,10,8.5,Pass
6.7,6.2,4.1,8.1,4.7,9,5.8,Pass
7.1,8.5,4,3.3,8.3,8.8,3.5,Pass
7.7,5.5,6.7,3.2,4.9,3.6,3.8,Fail
4.4,7.5,4.5,8.4,6.7,4.1,2.5,Fail
3.5,8.3,5.2,3.2,5,4.6,8.9,Pass
7.5,5.7,2.4,2.5,6.8,8.6,5.6,Pass
9.7,5.9,8.6,7,6,2.1,3,Pass
4.7,4.4,2.6,6.5,8.5,8.7,2.2,Pass
9.8,5.9,7.4,5.8,4.7,6.8,7.2,Pass
5.8,7.1,9.9,5.6,6.2,2.4,6.3,Pass
7.5,4.1,3.1,4.8,2.1,5.6,9.6,Pass
7.3,7.3,9.7,8.2,2.4,5,9.8,Pass
3,6.5,2.4,5.3,2,2.2,8.2,Fail
9.4,4.9,5.6,5.2,4.2,9.5,8,Pass
4.2,3.7,7.1,3.4,2.2,8.4,9.1,Pass
4,9.4,8.1,3.7,3.9,5.4,3.4,Fail
8.7,9.9,4.6,5.8,3.8,8.4,6.3,Pass
2,6.7,5.3,2.8,8.3,2.9,9.2,Pass
5,4.6,6.4,6.5,3,9.8,5.4,Pass
9.5,4.6,6.4,6.6,7.8,7.3,4.6,Pass
7.8,4.4,6.1,8.9,5.4,9.4,9,Pass
7.6,2,6.8,6.2,8.8,9.1,6.2,Pass
8,2.7,7.2,5.7,6.7,4.9,9.4,Pass
6.9,6.2,7.8,2.9,9.8,6.5,6.2,Pass
4.6,3.8,2.2,5.2,4.7,2.8,9.4,Pass
4,9.5,4.3,7.5,7.8,7.7,2.6,Pass
9.7,9.8,3.6,9.2,5.5,6.1,9.9,Pass
5.4,6.9,5.5,5.5,6.7,3.8,9.6,Pass
7.9,4.5,3.3,2.3,3.7,6.9,9.4,Pass
2.4,3.9,8.5,6.8,5.2,4.9,4,Fail
6.5,9.3,4,3.6,10,6,4,Pass
8,4.4,5.3,3.9,2.2,2.7,6.4,Fail
7.8,4.5,6.6,6.1,6.7,2.8,8,Pass
3.1,5,8.1,8.9,4.9,7.3,8.8,Pass
6.9,4.4,8.8,4,4.1,3.2,6.8,Pass
7.2,8.3,2.6,4.1,4.8,7.2,6.2,Pass
3.9,3,7.5,9.8,8.8,9.4,2.9,Pass
8.5,4.6,8.9,7,5,3.1,5.8,Pass
8.8,2.3,3.4,9.4,4.4,2.8,8.7,Pass
6.3,2.5,3.4,3.7,2.7,9,7,Pass
9.2,9.9,7.7,8.7,5.2,7.1,2.5,Pass
7.3,9.4,2.9,6.2,3,8.9,8.7,Pass
8.8,5,2.2,5.9,10,4.2,9.2,Pass
6.6,2.9,4,9.2,5.5,9.4,4.1,Pass
9.2,8.8,2.6,5.6,5.8,5.4,6.2,Pass
8.4,4.5,3.6,7.5,3.2,9.3,6.6,Pass
2,7.6,2,7.1,4.9,6.1,2.1,Fail
2.3,7.8,7.1,3.2,4.9,7.2,3.3,Fail
4.9,8.5,2.6,5.6,2.5,7.8,7.7,Pass
6.2,2.6,9.4,3.4,6.2,4.8,7.4,Pass
3.5,4.7,2.1,4.1,8.3,7.6,6.1,Pass
4.6,6.1,8.4,6.5,5.4,2.9,6.5,Pass
3.5,5.8,8,9.5,3.9,9,5.1,Pass
8.2,6.9,4.8,5.2,6.8,9.1,3.4,Pass
6.1,4.8,7.8,2.7,8.4,2.7,8.9,Pass
4.3,6.6,3,5,7.8,2.3,7.5,Pass
7.3,6.7,7.1,2.3,4.4,3.3,9.9,Pass
4.2,6.7,8.3,8.1,7.1,5.5,4.5,Pass
7.2,7.5,7.6,5.4,4.1,4.3,8.8,Pass
3.5,9.5,3.1,8,6.3,8.4,8.4,Pass
9,9.2,2.4,9.4,3.8,5.4,9.7,Pass
3.8,4.9,8.1,8.7,2.2,8.5,2.4,Fail
7,2.4,5.9,6.5,5.3,5.2,4.8,Pass
4.3,4.8,2.5,5.9,3.4,8.8,8.8,Pass
5.8,7.9,7.1,2.8,3.7,6.6,7.6,Pass
7.2,5.2,5.1,9.1,2.2,2.3,4.9,Fail
3.4,9,3,4,9.4,5.6,8.7,Pass
8.8,5.8,9.4,4.9,3,8.3,2.7,Pass
6,7.5,3.8,5.8,5,9.7,6.3,Pass
2.8,3.7,5.1,4.9,5.5,9.9,4.2,Pass
7.4,2.9,9.8,5.3,3.4,3.8,3,Fail
6.26235491,4.346221299,2.963444675,5.193532364,2.547311065,3.2,3.658066805,Fail
5.626538884,4.974660137,6.367466014,6.83972811,4.562669932,2.568665034,3.401199021,Fail
5.499864046,2.10135954,3.201495495,4.498368551,7.695785424,7.399592138,2.69932023,Fail
3.708279781,8.21223872,3.527069945,2.532757221,5.255004059,3.872930055,4.493448556,Fail
5.14572778,7.758291112,8.185680549,4.516582224,2.318844998,5.460047231,3.635427222,Fail
6.787130888,5.252174228,2.729565154,6.495130019,2.576347876,3.152695753,3.5,Fail
3.801757727,3.298995585,3.150062776,7.849937224,3.349811672,8.102259935,3.899623344,Fail
4.743823569,7.509548293,3.785955892,2.162920154,6.327531553,3.614044108,4.567415969,Fail
5.260155563,7.804062225,7.899611092,4.60812445,2.215859993,5.860544471,3.623984444,Fail
4.128799336,8.910562521,8.537917744,3.777279602,3.642401327,4.83328292,3.477279602,Fail
7.327926223,7.236937596,2.976577313,9.740540424,2.440540424,3.396397171,2.539639717,Fail
7.912304835,6.540381044,2.623974597,8.960889102,2.523974597,3.047949194,2.739745971,Fail
7.740599222,3.155449416,9.595640467,5.470299611,4.081198444,3.4934607,2.84673035,Fail
4.330431501,7.861528227,5.438737863,3.384584682,4.161661272,7.015415318,3.176943545,Fail
7.709700832,3.92990542,3.105543332,6.3,3.664551247,2.693070835,4.868708747,Fail
9.137054572,2.80682158,3.258914777,6.831472714,2.491782955,9.301395465,3.234263643,Fail
3.0569918,3.128672134,2.8569918,9.6,2.943184434,2.342831967,4.300352467,Fail
6.13804879,2.359945803,3.223631437,5.161680227,8.148997297,6.454742533,2.676368563,Fail
9.19184421,8.002772969,4.099347537,5.697227031,3.000652463,2.399673768,4.503425432,Fail
6.116931746,4.913750797,4.710569849,5.807952371,2.815341272,9.529092069,2.915341272,Fail
2.299819186,6.840108489,8.180397791,4.969330987,6.149909593,4.160072326,2.759891511,Fail
5.6,3.469716591,3.188992117,4.2,2.533023648,3.255039414,3.770645646,Fail
4.266416709,7.366416709,4.689242996,8.388868059,6.688868059,4.066604177,2.589055528,Fail
4.534933955,7.867725271,5.271417673,3.403175814,4.087296744,6.996824186,3.164549457,Fail
9.286487943,2.746114273,3.282263741,6.756756029,2.496452748,9.357432979,3.271621986,Fail
3.730061057,3.33996511,3.147502181,7.852497819,3.357493458,8.010078501,3.914986916,Fail
4.21739887,6.3,6.434784355,7.986954194,4.486940809,3.095646936,3.534784355,Fail
3.02836545,7.941827251,3.236177737,2.52836545,3.719832239,4.369471777,4.014903649,Fail
4.118736663,7.218736663,4.898456394,8.376561389,6.676561389,4.029684166,2.687508891,Fail
3.912197917,9.317362745,8.048351716,3.674175858,3.951648284,5.492966912,3.394835172,Fail
7.012980694,5.387019306,2.855768328,6.481729716,2.574038612,3.141586877,3.590864858,Fail
6.743007458,5.046635255,3.856466439,6.3,3.338853558,2.943007458,3.435751865,Fail
5.6,5.03485187,2.941865494,4.2,3.274403517,4.490672529,3.111641318,Fail
5.538214915,7.9,6.191767461,4.303206103,2.649653557,6.77642983,3.408925424,Fail
9.390445097,4.390445097,8.557799177,6.307962419,7.417517323,2.011147387,2.10398121,Fail
8.77909704,7.502569229,3.832152662,5.814791716,2.923472189,2.553055622,4.308680473,Fail
2.529224502,8.540027158,3.027700664,3.495360591,3.490789077,3.76925166,5.218421846,Fail
4.417573246,7.289121048,4.85146492,8.31213377,6.207949112,3.889121048,2.693305706,Fail
4.5,6.31589595,6.543713862,7.848338163,3.886753375,2.903973987,3.601324662,Fail
4.068679396,7.855271231,7.210542462,4.084339698,3.297134297,6.923643844,3.465813693,Fail
5.707906384,3.365315805,3.211561398,4.280929788,2.584783588,3.161462006,3.892491187,Fail
2.221236216,7.091125941,8.123929197,4.302692981,5.845165413,4.837086468,2.827417294,Fail
5.460202574,2.144772104,3.20124367,4.487563304,7.697512661,7.431091739,2.703731009,Fail
4.388891906,7.922210758,9.42223248,3.933335143,3.122216188,3.688875614,3.633335143,Fail
7.205920916,3.591344628,2.957175143,7.797039542,2.431435029,8.577220344,2.751480229,Fail
5.002962827,7.807059039,9.043965014,3.52300656,4.843965014,4.928017493,3.04601312,Fail
2.84322422,5.446729017,6.801518584,7.333177457,2.405023381,8.226635491,2.331658873,Fail
6.427390001,6.263566,8.608914999,3.327261,5.281783,4.236305,3.163695,Fail
6.33301186,4.144819497,6.687951257,6.189156784,4.733735176,2.555180503,3.266747035,Fail
2.356544166,8.937040622,3.069632498,3.445422299,4.008639585,4.406415212,4.150128954,Fail
4.24926363,8.452798206,8.947496342,3.849558178,3.40147274,4.303240028,3.549558178,Fail
7.725143078,2.440228925,2.920114463,4.45085847,6.560915702,5.299427686,3.074856922,Fail
2.215205881,7.036852929,8.202323547,4.387117666,5.917529428,4.656176429,2.791235286,Fail
6.003162614,3.704743921,2.878734954,8.201581307,2.557469909,8.534623556,2.716521125,Fail
8.75742078,4.815786554,7.881823225,5.128237893,6.455030559,2.604780442,2.74257922,Fail
2.4,4.593808897,4.056754738,7.529643327,3.191369439,6.855535009,3.613601934,Fail
4.048269792,9.459760504,3.649423264,3.81033724,3.412644184,2.440239496,6.2838954,Fail
7.532903186,4.051827611,8.426667079,4.369677699,4.06451593,3.711397876,3.354408496,Fail
4.5,7.307641298,9.271013569,4.625165782,3.060298919,3.151910324,3.683970108,Fail
8.081679641,4.012021705,4.932441615,4.390077847,2.710497757,2.597900449,6.359160179,Fail
7.719525099,6.250347845,3.157879609,6.103765882,2.730822745,2.938354509,3.827056863,Fail
2.544068181,4.06464935,8.362792208,6.875464285,5.110814935,4.762792208,3.972558442,Fail
6.993230194,4.334488269,7.438112887,5.851652499,4.693070384,2.710394424,3.196535192,Fail
2.563306256,8.746169778,3.227217709,2.863911453,3.791129162,4.172782291,4.318346872,Fail
7.880867524,2.689388038,3.044694019,5.385205143,7.557552153,4.676529904,2.919132476,Fail
8.30781588,4.664253165,8.903332565,4.56758573,4.44413809,3.372069045,3.19218412,Fail
6.090633633,5.651964075,5.675227005,8.606948281,2.898489935,2.546525859,4.365860638,Fail
2.818504851,3.287663433,2.618504851,9.6,3.459906157,2.303084142,4.856822015,Fail
2.68638049,7.575528459,8.318936585,4.356809755,5.505534956,4.52425366,2.889147968,Fail
4.828013911,8.571986089,7.658392581,4.307210201,2.85118238,6.117612056,3.510401855,Fail
4.149230003,6.941389034,6.820694517,5.627891289,2.217866129,7.31002516,3.033548066,Fail
8.001843787,4.391242013,5.291702959,3.911062721,2.211523668,2.697695266,6.399078107,Fail
3.838552788,8.529319889,4.5,9.429319889,2.48914591,4.942170818,2.687149071,Fail
4.10912132,7.584315662,5.383203772,8.793436983,2.950723206,4.07263604,3.097441697,Fail
8.645113413,7.389624754,3.267670119,7.975035007,2.722556706,2.732931952,3.390226826,Fail
5.30995964,2.829878919,3.804778018,5.325908109,3.969717477,8.360565045,2.830282523,Fail
